"origin_airport_id","origin","origin_market","origin_city_market_id"
14771,"SFO","San Francisco, CA (Metropolitan Area)",32457
13303,"MIA","Miami, FL (Metropolitan Area)",32467
14679,"SAN","San Diego, CA",33570
11298,"DFW","Dallas/Fort Worth, TX",30194
13204,"MCO","Orlando, FL",31454
10529,"BDL","Hartford, CT",30529
12892,"LAX","Los Angeles, CA (Metropolitan Area)",32575
12264,"IAD","Washington, DC (Metropolitan Area)",30852
15376,"TUS","Tucson, AZ",30436
14893,"SMF","Sacramento, CA",33192
10721,"BOS","Boston, MA (Metropolitan Area)",30721
12478,"JFK","New York City, NY (Metropolitan Area)",31703
14057,"PDX","Portland, OR",34057
13930,"ORD","Chicago, IL",30977
12191,"HOU","Houston, TX",31453
12266,"IAH","Houston, TX",31453
15016,"STL","St. Louis, MO",31123
11278,"DCA","Washington, DC (Metropolitan Area)",30852
14570,"RNO","Reno, NV",34570
10821,"BWI","Washington, DC (Metropolitan Area)",30852
14193,"PNS","Pensacola, FL",33728
11057,"CLT","Charlotte, NC",31057
13495,"MSY","New Orleans, LA",33495
13198,"MCI","Kansas City, MO",33198
12889,"LAS","Las Vegas, NV",32211
14747,"SEA","Seattle, WA",30559
11433,"DTW","Detroit, MI",31295
14831,"SJC","San Francisco, CA (Metropolitan Area)",32457
14869,"SLC","Salt Lake City, UT",34614
14107,"PHX","Phoenix, AZ",30466
14843,"SJU","San Juan, PR",34819
12173,"HNL","Honolulu, HI",32134
13891,"ONT","Los Angeles, CA (Metropolitan Area)",32575
14908,"SNA","Los Angeles, CA (Metropolitan Area)",32575
11292,"DEN","Denver, CO",30325
13830,"OGG","Kahului, HI",33830
12451,"JAX","Jacksonville, FL",31136
13256,"MFE","Mission/McAllen/Edinburg, TX",33256
15304,"TPA","Tampa, FL (Metropolitan Area)",33195
12953,"LGA","New York City, NY (Metropolitan Area)",31703
10397,"ATL","Atlanta, GA (Metropolitan Area)",30397
12896,"LBB","Lubbock, TX",32896
12339,"IND","Indianapolis, IN",32337
10693,"BNA","Nashville, TN",30693
13931,"ORF","Norfolk, VA (Metropolitan Area)",33667
11066,"CMH","Columbus, OH",31066
12758,"KOA","Kona, HI",32758
11109,"COS","Colorado Springs, CO",30189
13342,"MKE","Milwaukee, WI",33342
12982,"LIH","Lihue, HI",32982
14492,"RDU","Raleigh/Durham, NC",34492
14635,"RSW","Fort Myers, FL",31714
10299,"ANC","Anchorage, AK",30299
10423,"AUS","Austin, TX",30423
11540,"ELP","El Paso, TX",30615
14683,"SAT","San Antonio, TX",33214
11618,"EWR","New York City, NY (Metropolitan Area)",31703
15370,"TUL","Tulsa, OK",34653
14100,"PHL","Philadelphia, PA",34100
12278,"ICT","Wichita, KS",30928
13851,"OKC","Oklahoma City, OK",33851
15024,"STT","Charlotte Amalie, VI",34945
10140,"ABQ","Albuquerque, NM",30140
11697,"FLL","Miami, FL (Metropolitan Area)",32467
13244,"MEM","Memphis, TN",33244
11267,"DAY","Dayton, OH",31267
12992,"LIT","Little Rock, AR",32600
11423,"DSM","Des Moines, IA",31423
13487,"MSP","Minneapolis/St. Paul, MN",31650
14730,"SDF","Louisville, KY",33044
14122,"PIT","Pittsburgh, PA",30198
11638,"FAT","Fresno, CA",31638
14262,"PSP","Palm Springs, CA",34262
13871,"OMA","Omaha, NE",33316
11503,"EGE","Eagle, CO",31503
10599,"BHM","Birmingham, AL",30599
11042,"CLE","Cleveland, OH (Metropolitan Area)",30647
12441,"JAC","Jackson, WY",32441
14027,"PBI","West Palm Beach/Palm Beach, FL",34027
14524,"RIC","Richmond, VA",34524
15919,"XNA","Fayetteville, AR",31834
15027,"STX","Christiansted, VI",34992
11140,"CRP","Corpus Christi, TX",31140
12217,"HSV","Huntsville, AL",30255
10666,"BLI","Bellingham, WA",30666
11884,"GEG","Spokane, WA",31884
13796,"OAK","San Francisco, CA (Metropolitan Area)",32457
10170,"ADQ","Kodiak, AK",30070
10551,"BET","Bethel, AK",30113
10754,"BRW","Barrow, AK",30107
14709,"SCC","Deadhorse, AK",30073
11630,"FAI","Fairbanks, AK",31517
14828,"SIT","Sitka, AK",34828
12523,"JNU","Juneau, AK",32523
12819,"KTN","Ketchikan, AK",31401
10926,"CDV","Cordova, AK",30913
15991,"YAK","Yakutat, AK",35991
15841,"WRG","Wrangell, AK",35841
14256,"PSG","Petersburg, AK",34256
13873,"OME","Nome, AK",33873
13970,"OTZ","Kotzebue, AK",33970
11997,"GST","Gustavus, AK",31997
11336,"DLG","Dillingham, AK",31336
10800,"BUR","Los Angeles, CA (Metropolitan Area)",32575
14321,"PWM","Portland, ME",34321
12954,"LGB","Los Angeles, CA (Metropolitan Area)",32575
10785,"BTV","Burlington, VT",30785
14685,"SAV","Savannah, GA",34685
10792,"BUF","Buffalo, NY",30792
15096,"SYR","Syracuse, NY",35096
10245,"AKN","King Salmon, AK",30245
14576,"ROC","Rochester, NY",34576
12197,"HPN","New York City, NY (Metropolitan Area)",31703
10994,"CHS","Charleston, SC",30994
14986,"SRQ","Sarasota/Bradenton, FL",34986
15070,"SWF","New York City, NY (Metropolitan Area)",31703
14307,"PVD","Boston, MA (Metropolitan Area)",30721
10732,"BQN","Aguadilla, PR",30732
