"origin_market","origin_city_market_id","dest_market","dest_city_market_id","carrier","num_flights"
"Aberdeen, SD",30141,"Minneapolis/St. Paul, MN",31650,"OO",132
"Abilene, TX",30136,"Dallas/Fort Worth, TX",30194,"MQ",472
"Adak Island, AK",30165,"Anchorage, AK",30299,"AS",17
"Aguadilla, PR",30732,"New York City, NY (Metropolitan Area)",31703,"B6",63
"Aguadilla, PR",30732,"New York City, NY (Metropolitan Area)",31703,"UA",36
"Aguadilla, PR",30732,"Orlando, FL",31454,"B6",46
"Albany, GA",30146,"Atlanta, GA (Metropolitan Area)",30397,"EV",170
"Albany, NY",30257,"Atlanta, GA (Metropolitan Area)",30397,"DL",175
"Albany, NY",30257,"Charlotte, NC",31057,"US",122
"Albany, NY",30257,"Chicago, IL",30977,"EV",57
"Albany, NY",30257,"Chicago, IL",30977,"OO",6
"Albany, NY",30257,"Chicago, IL",30977,"UA",122
"Albany, NY",30257,"Chicago, IL",30977,"WN",121
"Albany, NY",30257,"Detroit, MI",31295,"DL",3
"Albany, NY",30257,"Detroit, MI",31295,"EV",131
"Albany, NY",30257,"Las Vegas, NV",32211,"WN",61
"Albany, NY",30257,"Miami, FL (Metropolitan Area)",32467,"WN",1
"Albany, NY",30257,"Minneapolis/St. Paul, MN",31650,"DL",2
"Albany, NY",30257,"Minneapolis/St. Paul, MN",31650,"EV",3
"Albany, NY",30257,"New York City, NY (Metropolitan Area)",31703,"EV",1
"Albany, NY",30257,"Orlando, FL",31454,"WN",69
"Albany, NY",30257,"Tampa, FL (Metropolitan Area)",33195,"WN",61
"Albany, NY",30257,"Washington, DC (Metropolitan Area)",30852,"EV",25
"Albany, NY",30257,"Washington, DC (Metropolitan Area)",30852,"WN",340
"Albuquerque, NM",30140,"Atlanta, GA (Metropolitan Area)",30397,"DL",162
"Albuquerque, NM",30140,"Chicago, IL",30977,"MQ",122
"Albuquerque, NM",30140,"Chicago, IL",30977,"OO",53
"Albuquerque, NM",30140,"Chicago, IL",30977,"WN",121
"Albuquerque, NM",30140,"Dallas/Fort Worth, TX",30194,"AA",436
"Albuquerque, NM",30140,"Dallas/Fort Worth, TX",30194,"WN",453
"Albuquerque, NM",30140,"Denver, CO",30325,"EV",75
"Albuquerque, NM",30140,"Denver, CO",30325,"OO",24
"Albuquerque, NM",30140,"Denver, CO",30325,"UA",8
"Albuquerque, NM",30140,"Denver, CO",30325,"WN",166
"Albuquerque, NM",30140,"Houston, TX",31453,"EV",169
"Albuquerque, NM",30140,"Houston, TX",31453,"OO",11
"Albuquerque, NM",30140,"Houston, TX",31453,"UA",2
"Albuquerque, NM",30140,"Houston, TX",31453,"WN",173
"Albuquerque, NM",30140,"Kansas City, MO",33198,"WN",61
