"origin","dest","carrier","num_flights"
"ABE","ATL","DL",0.8
"ABE","ATL","EV",1.4
"ABE","DTW","EV",2.2
"ABE","ORD","EV",0.35
"ABI","DFW","MQ",7.71
"ABQ","ATL","DL",2.77
"ABQ","BWI","WN",1.88
"ABQ","DAL","WN",7.48
"ABQ","DEN","EV",1.57
"ABQ","DEN","OO",0.55
"ABQ","DEN","UA",0.09
"ABQ","DEN","WN",2.72
"ABQ","DFW","AA",7.28
"ABQ","HOU","WN",2.8
"ABQ","IAH","EV",2.72
"ABQ","IAH","OO",0.45
"ABQ","IAH","UA",0.02
"ABQ","JFK","B6",0.88
"ABQ","LAS","WN",4.82
"ABQ","LAX","OO",3.76
"ABQ","LAX","WN",2.74
"ABQ","MCI","WN",1
"ABQ","MCO","WN",0.1
"ABQ","MDW","WN",1.98
"ABQ","MSP","DL",1.2
"ABQ","OAK","WN",2.58
"ABQ","ORD","MQ",2.2
"ABQ","ORD","OO",0.76
"ABQ","PDX","WN",1
"ABQ","PHX","OO",1.78
"ABQ","PHX","WN",6.39
"ABQ","SAN","WN",2.05
"ABQ","SEA","AS",0.48
"ABQ","SEA","WN",1.1
"ABQ","SFO","OO",1
"ABQ","SLC","OO",2.88
"ABR","MSP","OO",2.11
"ABY","ATL","EV",2.78
"ACK","BOS","B6",0.57
"ACK","JFK","B6",1.47
"ACT","DFW","EV",0.16
"ACT","DFW","MQ",4.66
"ACV","CEC","OO",0.86
"ACV","SFO","OO",6.55
"ACV","SMF","OO",1.72
"ACY","IAH","EV",1
"ACY","ORD","EV",1
"ADK","ANC","AS",0.28
"ADQ","ANC","AS",1.52
"AEX","ATL","EV",3.75
"AEX","DFW","MQ",3
"AEX","IAH","EV",2.7
"AGS","ATL","DL",2.05
"AGS","ATL","EV",4.66
"AKN","ANC","AS",0.1
"ALB","ATL","DL",2.85
"ALB","BWI","WN",5.57
"ALB","CLT","US",1.97
"ALB","DTW","DL",0.03
"ALB","DTW","EV",2.37
"ALB","EWR","EV",0.01
"ALB","FLL","WN",0.35
"ALB","IAD","EV",0.32
"ALB","LAS","WN",1
"ALB","MCO","WN",1.14
"ALB","MDW","WN",1.99
"ALB","MSP","DL",0.36
"ALB","MSP","EV",0.03
"ALB","ORD","EV",0.79
"ALB","ORD","OO",0.27
"ALB","ORD","UA",2.12
"ALB","TPA","WN",1.02
"ALO","ORD","MQ",1.86
"AMA","DAL","WN",4.03
"AMA","DEN","EV",1.73
"AMA","DEN","OO",0.05
"AMA","DEN","WN",1.87
"AMA","DFW","EV",0.39
"AMA","DFW","MQ",7.32
"AMA","IAH","EV",3.26
"AMA","LAS","WN",1
"ANC","ADK","AS",0.28
"ANC","ADQ","AS",1.52
"ANC","AKN","AS",0.1
